Reference, Quantity, Value, Footprint, Datasheet, Note, Manufacturer, Part Number, Manuf P/N, Description
C3 C4 ,2,"0.1uF","gsg-modules:0603","~","","","","",""
C5 C6 C1 C2 ,4,"1uF","gsg-modules:0603","~","","","","",""
C7 ,1,"10nF","gsg-modules:0603","~","","","","",""
C9-DNP1 ,1,"2.2uF","gsg-modules:0603","~","","","","",""
D1 D2 D3 D4 D5 ,5,"LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","","","1x Red 2x Blue 2x Green"
J1 J2 ,2,"Conn_02x20_Odd_Even","gsg-modules:HEADER-2x20","~","","","","",""
J4 ,1,"USB-A-SHIELDED","rhododendron:CONN-Amphenol-UE27AC54100","","","Amphenol ICC (FCI)","","87583-2010BLF","USB-A connector, female"
J5 ,1,"USB-B-SHIELDED","rhododendron:USB_B_OST_USB-B1HSxx_Horizontal","","","","","","USB-B connector, female"
J7 ,1,"BONUS_ROW","gsg-modules:HEADER-1x20","","DNP","Samtec","SSQ-120-23-G-S","","CONN RCPT .100 20POS SINGLE-ROW STACKING GOLD"
JP1 JP2 JP3 ,3,"Jumper_NC_Small","gsg-modules:0402-SHORT-10MIL","~","","","","",""
MH3 MH4 MH1 MH2 ,4,"MOUNTING_HOLE","gsg-modules:HOLE126MIL-COPPER","","DNP","","","",""
R1 ,1,"8.06k+1%","gsg-modules:0603","~","","","","",""
R3 ,1,"20k+5%","gsg-modules:0603","~","","","","",""
R2 R4 R5 R6 R7 ,5,"330","gsg-modules:0603","~","","","","",""
R8 ,1,"DNP","Resistor_SMD:R_1206_3216Metric","~","","","","",""

R9 R10 R12 ,3,"1k","gsg-modules:0603","~","","","","",""
R11 R15 ,2,"0R","gsg-modules:0603","~","","","","",""
R13 ,1,"1k5","gsg-modules:0603","~","","","","",""
R14 ,1,"10k","gsg-modules:0603","~","","","","",""

TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 TP10 ,10,"TestPoint","TestPoint:TestPoint_Pad_D2.0mm","~","","","","",""
U1 ,1,"USB3343","Package_DFN_QFN:VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm","https://ww1.microchip.com/downloads/en/DeviceDoc/USB334x-Data-Sheet-DS00002646A.pdf","","Microchip Technology","","USB3343-CP","USB PHY"
U2 ,1,"M24C02-FMN","gsg-modules:SOIC-8_3.9x4.9mm_P1.27mm","https://www.st.com/resource/en/datasheet/m24c02-w.pdf","","STMicroelectronics","M24C02-FMN","","2-Kbit serial i2c bus EEPROM"
